# Strings exported from IDA
# Format: address | length | type | string
#================================================================================

0x101bab54 | 6 | ASCII | 2_5_0
0x101bab5c | 15 | ASCII | xerces-c_2_5_0
0x101bab70 | 51 | ASCII | Mat on mesh doesn't exist in scene Obj: %s Mat: %s
0x101baba4 | 19 | ASCII | No mats on Obj: %s
0x101babcc | 14 | ASCII | ModelFilename
0x101babec | 31 | ASCII | [These are the scene defaults]
0x101bac0c | 9 | ASCII | \models\
0x101bac18 | 7 | ASCII | Editor
0x101bac20 | 33 | ASCII | Change Models Extensions to .Reb
0x101bac48 | 19 | ASCII | Loading Material: 
0x101bac60 | 87 | ASCII | Game is running module '%s' but tried to load map of module '%s'. Continuing anyway...
0x101bacb8 | 7 | ASCII | UNLOAD
0x101bacc8 | 22 | ASCII | Loading Scene Actor: 
0x101bace0 | 21 | ASCII | Can't create actor: 
0x101bad04 | 12 | ASCII | Script name
0x101bad10 | 10 | ASCII | Scripting
0x101bad24 | 23 | ASCII | Script includes model?
0x101bad3c | 10 | ASCII | Scripting
0x101bad48 | 13 | ASCII | IncludeModel
0x101bad58 | 17 | ASCII | Script Parameter
0x101bad6c | 10 | ASCII | Scripting
0x101bad78 | 9 | ASCII | LODRatio
0x101bad88 | 19 | ASCII | Parsing Scene File
0x101bada0 | 24 | ASCII | Caching Scene Resources
0x101badbc | 10 | ASCII | Loading '
0x101badcc | 15 | ASCII | Read Mat: %.3f
0x101baddc | 44 | ASCII | ..\..\Shared\xercesc/util/BaseRefVectorOf.c
0x101bae08 | 44 | ASCII | ..\..\Shared\xercesc/util/BaseRefVectorOf.c
0x101baea8 | 42 | ASCII | Serializer does not support world parsing
0x101baed4 | 42 | ASCII | Serializer does not support world loading
0x101baf00 | 42 | ASCII | Serializer does not support model loading
0x101baf2c | 41 | ASCII | Serializer does not support world saving
0x101baf58 | 41 | ASCII | Serializer does not support model saving
0x101bafa4 | 19 | ASCII | vector<T> too long
0x101bafb8 | 22 | ASCII | vector<bool> too long
0x101bafe8 | 18 | ASCII | Hash code %s : %i
0x101baffc | 17 | ASCII | list<T> too long
0x101bb018 | 20 | ASCII | map/set<T> too long
0x101bb05c | 6 | ASCII | *.buf
0x101bb064 | 6 | ASCII | *.prt
0x101bb098 | 17 | ASCII | Couldn't open %s
0x101bb0b0 | 47 | ASCII | Can't save meshes with skinning initialized %s
0x101bb0fc | 7 | ASCII | Models
0x101bb104 | 29 | ASCII | AsyncPacket Cache Failed. %s
0x101bb124 | 9 | ASCII | Textures
0x101bb130 | 6 | ASCII | Cache
0x101bb140 | 8 | ASCII | Shaders
0x101bb14c | 6 | ASCII | 2_5_0
0x101bb154 | 15 | ASCII | xerces-c_2_5_0
0x101bb164 | 19 | ASCII | \nWarning Message: 
0x101bb178 | 17 | ASCII | \nError Message: 
0x101bb18c | 17 | ASCII | \nFatal Message: 
0x101bb1a0 | 22 | ASCII | Error saving file: %s
0x101bb1bc | 6 | ASCII | 2_5_0
0x101bb1c4 | 15 | ASCII | xerces-c_2_5_0
