# Failed to decompile 138 functions
# Format: address | function_name | reason
#================================================================================

0x100089b8 | ?PrintfColor@GUIConsole@@QAAXKPBDZZ | decompile returned None
0x10009b10 | ?Printf@GUIConsole@@QAAXPBDZZ | decompile returned None
0x1002cf00 | sub_1002CF00 | decompile returned None
0x1002cf40 | sub_1002CF40 | decompile returned None
0x1002d110 | sub_1002D110 | decompile returned None
0x1002d180 | sub_1002D180 | decompile returned None
0x1002d270 | sub_1002D270 | decompile returned None
0x1002e2e0 | sub_1002E2E0 | decompile returned None
0x100304e0 | sub_100304E0 | decompile returned None
0x10056160 | sub_10056160 | decompile returned None
0x10060a80 | sub_10060A80 | decompile returned None
0x10076ab0 | sub_10076AB0 | decompile returned None
0x100a3610 | sub_100A3610 | decompile returned None
0x100a6b70 | sub_100A6B70 | decompile returned None
0x100c78e0 | sub_100C78E0 | decompile returned None
0x100d0490 | sub_100D0490 | decompile returned None
0x100d1c90 | sub_100D1C90 | decompile returned None
0x100d2f50 | sub_100D2F50 | decompile returned None
0x100d3fe0 | sub_100D3FE0 | decompile returned None
0x100d7280 | sub_100D7280 | decompile returned None
0x100d7c20 | sub_100D7C20 | decompile returned None
0x100da560 | sub_100DA560 | decompile returned None
0x100da6a0 | sub_100DA6A0 | decompile returned None
0x100de920 | sub_100DE920 | decompile returned None
0x100ded20 | sub_100DED20 | decompile returned None
0x100df720 | sub_100DF720 | decompile returned None
0x100e53e0 | sub_100E53E0 | decompile returned None
0x100ed410 | sub_100ED410 | decompile returned None
0x100ee920 | sub_100EE920 | decompile returned None
0x100f09e0 | sub_100F09E0 | decompile returned None
0x1011f420 | sub_1011F420 | decompile returned None
0x10122670 | sub_10122670 | decompile returned None
0x1012d170 | ?PostRender@HookEsbStore@@UAEXPAVCamera@@@Z_0 | decompile returned None
0x10144400 | ?UnloadResource@Booty@GameClient@@UAEXXZ_0 | decompile returned None
0x1014aa10 | sub_1014AA10 | decompile returned None
0x1014e230 | ?UnloadResource@DamageEquip@GameClient@@UAEXXZ_0 | decompile returned None
0x101607f0 | ??1Interactable@GameClient@@UAE@XZ_0 | decompile returned None
0x10174270 | ?IntoEstablishment@Robot@GameClient@@QAEXKH@Z_0 | decompile returned None
0x10174320 | ?Live@Robot@GameClient@@QAEXXZ_0 | decompile returned None
