# Strings exported from IDA
# Format: address | length | type | string
#================================================================================

0x10308910 | 6 | ASCII | Music
0x10308918 | 12 | ASCII | MusicVolume
0x1030896c | 19 | ASCII | vector<T> too long
0x10308984 | 19 | ASCII | <Global variables>
0x10308998 | 20 | ASCII | Global variables { 
0x103089b8 | 26 | ASCII | Unknown C global variable
0x103089d4 | 26 | ASCII | Unknown C global variable
0x103089f0 | 12 | ASCII | swigvarlink
0x10308a0c | 24 | ASCII | Type error. Expected %s
0x10308a24 | 19 | ASCII | Expected a pointer
0x10308a38 | 24 | ASCII | Type error. Expected %s
0x10308a50 | 19 | ASCII | Expected a pointer
0x10308a68 | 8 | ASCII | thisown
0x10308a78 | 8 | ASCII | thisown
0x10308a80 | 15 | ASCII | bad allocation
0x10308a90 | 15 | ASCII | sOO:SpawnActor
0x10308aa0 | 19 | ASCII | :GetDayTimeMinutes
0x10308ab4 | 17 | ASCII | :GetDayTimeSpeed
0x10308ac8 | 12 | ASCII | iff:FadeSky
0x10308ad4 | 14 | ASCII | i:GetSkyValue
0x10308ae4 | 16 | ASCII | fffffff:FadeFog
0x10308af4 | 14 | ASCII | i:SetSkyState
0x10308b04 | 13 | ASCII | :GetSkyState
0x10308b14 | 18 | ASCII | i:SetWeatherState
0x10308b28 | 17 | ASCII | :GetWeatherState
0x10308b3c | 16 | ASCII | f:SetSkyDayTime
0x10308b4c | 15 | ASCII | s:DoMessageBox
0x10308b5c | 8 | ASCII | s:Print
0x10308b64 | 14 | ASCII | :getDeltaTime
0x10308b74 | 23 | ASCII | i:getRandomWholeNumber
0x10308b8c | 23 | ASCII | O:addInteriorVolumeBox
0x10308ba4 | 10 | ASCII | s:PlayOgg
0x10308bb0 | 11 | ASCII | SpawnActor
0x10308bbc | 18 | ASCII | GetDayTimeMinutes
0x10308bd0 | 16 | ASCII | GetDayTimeSpeed
0x10308be0 | 8 | ASCII | FadeSky
0x10308be8 | 12 | ASCII | GetSkyValue
0x10308bf4 | 8 | ASCII | FadeFog
0x10308bfc | 12 | ASCII | SetSkyState
0x10308c08 | 12 | ASCII | GetSkyState
0x10308c14 | 16 | ASCII | SetWeatherState
0x10308c24 | 16 | ASCII | GetWeatherState
0x10308c34 | 14 | ASCII | SetSkyDayTime
0x10308c44 | 13 | ASCII | DoMessageBox
0x10308c54 | 6 | ASCII | Print
0x10308c5c | 13 | ASCII | getDeltaTime
0x10308c6c | 21 | ASCII | getRandomWholeNumber
0x10308c84 | 21 | ASCII | addInteriorVolumeBox
0x10308c9c | 8 | ASCII | PlayOgg
0x10308ca4 | 9 | ASCII | _p_World
0x10308cb0 | 8 | ASCII | World *
0x10308cb8 | 9 | ASCII | _p_World
0x10308cc4 | 9 | ASCII | _p_Actor
0x10308cd0 | 8 | ASCII | Actor *
0x10308cd8 | 9 | ASCII | _p_Actor
0x10308ce4 | 10 | ASCII | _p_Matrix
0x10308cf0 | 9 | ASCII | Matrix *
0x10308cfc | 10 | ASCII | _p_Matrix
0x10308d08 | 19 | ASCII | SKY_MOON_INTENSITY
0x10308d1c | 14 | ASCII | SKY_MOON_SIZE
0x10308d2c | 18 | ASCII | SKY_SUN_INTENSITY
0x10308d40 | 13 | ASCII | SKY_SUN_SIZE
0x10308d50 | 19 | ASCII | CLOUD_SCROLL_SPEED
0x10308d64 | 24 | ASCII | CLOUD_BRIGHTNESS_FACTOR
0x10308d7c | 15 | ASCII | CLOUD_SOLIDITY
0x10308d8c | 20 | ASCII | CLOUD_MAX_INTENSITY
0x10308da0 | 20 | ASCII | CLOUD_MIN_INTENSITY
0x10308db4 | 20 | ASCII | CLOUD_ADD_RED_VALUE
0x10308dc8 | 22 | ASCII | CLOUD_ADD_GREEN_VALUE
0x10308de0 | 21 | ASCII | CLOUD_ADD_BLUE_VALUE
0x10308df8 | 19 | ASCII | CLOUD_ALPHA_FACTOR
0x10308e0c | 13 | ASCII | DAYLIGHT_RED
0x10308e1c | 15 | ASCII | DAYLIGHT_GREEN
0x10308e2c | 14 | ASCII | DAYLIGHT_BLUE
0x10308e3c | 15 | ASCII | NIGHTLIGHT_RED
0x10308e4c | 17 | ASCII | NIGHTLIGHT_GREEN
0x10308e60 | 16 | ASCII | NIGHTLIGHT_BLUE
0x10308e70 | 15 | ASCII | RAIN_INTENSITY
0x10308e80 | 18 | ASCII | SKY_ADD_RED_VALUE
0x10308e94 | 20 | ASCII | SKY_ADD_GREEN_VALUE
0x10308ea8 | 19 | ASCII | SKY_ADD_BLUE_VALUE
0x10308ebc | 15 | ASCII | SKY_OVERBRIGHT
0x10308ecc | 11 | ASCII | SKY_BGMIX1
0x10308ed8 | 11 | ASCII | SKY_BGMIX2
0x10308ee4 | 11 | ASCII | SKY_BGMIX3
0x10308ef0 | 11 | ASCII | SKY_BGMIX4
0x10308efc | 11 | ASCII | SKY_BGMIX5
0x10308f08 | 11 | ASCII | SKY_BGMIX6
0x10308f14 | 11 | ASCII | SKY_BGMIX7
0x10308f20 | 11 | ASCII | SKY_BGMIX8
0x10308f2c | 19 | ASCII | WEATHERSTATE_CLEAR
0x10308f40 | 26 | ASCII | WEATHERSTATE_THUNDERSTORM
0x1030913c | 19 | ASCII | <Global variables>
0x10309150 | 20 | ASCII | Global variables { 
0x10309170 | 26 | ASCII | Unknown C global variable
0x1030918c | 26 | ASCII | Unknown C global variable
0x103091a8 | 12 | ASCII | swigvarlink
0x103091c4 | 24 | ASCII | Type error. Expected %s
0x103091dc | 19 | ASCII | Expected a pointer
0x103091f0 | 24 | ASCII | Type error. Expected %s
0x10309208 | 19 | ASCII | Expected a pointer
0x10309220 | 8 | ASCII | thisown
0x10309230 | 8 | ASCII | thisown
0x10309238 | 15 | ASCII | bad allocation
0x10309248 | 17 | ASCII | Of:Vector2_x_set
0x1030925c | 16 | ASCII | O:Vector2_x_get
0x1030926c | 17 | ASCII | Of:Vector2_y_set
0x10309280 | 16 | ASCII | O:Vector2_y_get
0x10309290 | 13 | ASCII | :new_Vector2
0x103092a0 | 18 | ASCII | O:Vector2_Average
0x103092b4 | 21 | ASCII | Off:Vector2___call__
0x103092cc | 18 | ASCII | OO:Vector2___eq__
0x103092e0 | 20 | ASCII | Of:Vector2___imul__
0x103092f4 | 17 | ASCII | O:delete_Vector2
0x1030930c | 16 | ASCII | Of:Vector_x_set
0x1030931c | 15 | ASCII | O:Vector_x_get
0x1030932c | 16 | ASCII | Of:Vector_y_set
0x1030933c | 15 | ASCII | O:Vector_y_get
0x1030934c | 16 | ASCII | Of:Vector_z_set
0x1030935c | 15 | ASCII | O:Vector_z_get
0x1030936c | 15 | ASCII | fff:new_Vector
0x1030937c | 18 | ASCII | OO:Vector___xor__
0x10309390 | 17 | ASCII | OO:Vector___or__
0x103093a4 | 18 | ASCII | OO:Vector___add__
0x103093b8 | 18 | ASCII | OO:Vector___sub__
0x103093cc | 18 | ASCII | Of:Vector___div__
0x103093e0 | 17 | ASCII | OO:Vector___eq__
0x103093f4 | 17 | ASCII | OO:Vector___ne__
0x10309408 | 17 | ASCII | O:Vector___neg__
0x1030941c | 19 | ASCII | OO:Vector___iadd__
0x10309430 | 19 | ASCII | OO:Vector___isub__
0x10309444 | 19 | ASCII | Of:Vector___imul__
0x10309458 | 19 | ASCII | Of:Vector___idiv__
0x1030946c | 16 | ASCII | O:Vector_Length
0x1030947c | 22 | ASCII | O:Vector_IsNearlyZero
0x10309494 | 16 | ASCII | O:Vector_IsZero
0x103094a4 | 19 | ASCII | O:Vector_Normalize
0x103094b8 | 16 | ASCII | Offf:Vector_Set
0x103094c8 | 14 | ASCII | OO:Vector_Add
0x103094d8 | 14 | ASCII | OO:Vector_Sub
0x103094e8 | 14 | ASCII | OO:Vector_Mul
