# Strings exported from IDA
# Format: address | length | type | string
#================================================================================

0x100575ac | 10 | ASCII | cryptokey
0x100575b8 | 7 | ASCII | outpop
0x100575dc | 6 | ASCII | %s:%d
0x10057630 | 15 | ASCII | bad allocation
0x100577c4 | 8 | ASCII | aes_key
0x10057e6c | 47 | ASCII | Microsoft Enhanced Cryptographic Provider v1.0
0x10058410 | 65 | ASCII | CryptProv::ExportCryptExportKey(PBYTE& key,DWORD*  dwKeyBlobLen)
0x10058550 | 12 | ASCII | ServerProc6
0x10058568 | 37 | ASCII | stream operator << T space not enugh
0x10058590 | 37 | ASCII | stream opera << const T write  faild
0x100585b8 | 18 | ASCII | deque<T> too long
0x100585cc | 19 | ASCII | vector<T> too long
0x100586dc | 34 | ASCII | TSocket::TSocket construct faild!
0x10058700 | 27 | ASCII | WSAGetLastError returned n
0x1005871c | 41 | ASCII | ACE_OS::SOCKET_init; WSAStartup failed, 
0x10059f94 | 17 | ASCII | list<T> too long
0x1005b0fc | 43 | ASCII | Error  datalen  Simple_Wait_Stream_Channel
0x1005b210 | 27 | ASCII | stream operator >> T faild
0x1005b560 | 40 | ASCII | Soc_Asynch_Connect::open(),soket faild!
0x100607d4 | 27 | ASCII | parse_dgram_stream failed!
0x10061610 | 45 | ASCII | stream operator << string<T> space not enugh
0x10061640 | 46 | ASCII | stream operator >> std::basic_string<T> faild
0x100616e8 | 46 | ASCII | D:\R3\OutpopGameProject\Release\IONetwork.pdb
0x1006bcca | 38 | ASCII | ??1logic_error@Utility@Outpop@@UAE@XZ
0x1006bcf2 | 125 | ASCII | ??0logic_error@Utility@Outpop@@QAE@ABV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@PAVoutpop_exception@12@@Z
0x1006bd72 | 51 | ASCII | ??4logic_error@Utility@Outpop@@QAEAAV012@ABV012@@Z
0x1006bda8 | 45 | ASCII | ??0logic_error@Utility@Outpop@@QAE@ABV012@@Z
0x1006bdd8 | 37 | ASCII | ??_7Config_Paser@Utility@Outpop@@6B@
0x1006be00 | 46 | ASCII | ?write_file@Logger@Utility@Outpop@@QAEXPA_W@Z
0x1006be30 | 34 | ASCII | ?lock@Lock@Utility@Outpop@@QAEXXZ
0x1006be54 | 36 | ASCII | ?unlock@Lock@Utility@Outpop@@QAEXXZ
0x1006be7a | 45 | ASCII | ?instance@Logger@Utility@Outpop@@SAPAV123@XZ
0x1006beaa | 42 | ASCII | ?make_dt@Logger@Utility@Outpop@@QAEPA_WXZ
0x1006bed6 | 42 | ASCII | ?make_tm@Logger@Utility@Outpop@@QAEPA_WXZ
0x1006bf02 | 49 | ASCII | ?get_log_buffer@Logger@Utility@Outpop@@QAEPA_WXZ
0x1006bf36 | 39 | ASCII | ??1Config_Paser@Utility@Outpop@@UAE@XZ
0x1006bf60 | 49 | ASCII | ?char_rep@Wide_To_Ascii@Utility@Outpop@@QAEPADXZ
0x1006bf94 | 44 | ASCII | ??0Wide_To_Ascii@Utility@Outpop@@QAE@PB_W@Z
0x1006bfc2 | 40 | ASCII | ??1Wide_To_Ascii@Utility@Outpop@@QAE@XZ
0x1006bfec | 51 | ASCII | ?wchar_rep@Ascii_To_Wide@Utility@Outpop@@QAEPA_WXZ
0x1006c022 | 43 | ASCII | ??0Ascii_To_Wide@Utility@Outpop@@QAE@PBD@Z
0x1006c050 | 40 | ASCII | ??1Ascii_To_Wide@Utility@Outpop@@QAE@XZ
0x1006c07a | 39 | ASCII | ??0Thread_Mutex@Utility@Outpop@@QAE@XZ
0x1006c0a4 | 39 | ASCII | ??1Thread_Mutex@Utility@Outpop@@QAE@XZ
0x1006c0ce | 37 | ASCII | ??0Time_Value@Utility@Outpop@@QAE@XZ
0x1006c0f6 | 37 | ASCII | ??1Time_Value@Utility@Outpop@@QAE@XZ
0x1006c11e | 53 | ASCII | ?gettimeofday@Time_Value@Utility@Outpop@@SA?AV123@XZ
0x1006c156 | 41 | ASCII | ??0Binary_Stream@Utility@Outpop@@QAE@H@Z
0x1006c182 | 40 | ASCII | ??1Binary_Stream@Utility@Outpop@@UAE@XZ
0x1006c1ac | 46 | ASCII | ?acquire@Thread_Mutex@Utility@Outpop@@QAE_NXZ
0x1006c1dc | 46 | ASCII | ?release@Thread_Mutex@Utility@Outpop@@QAE_NXZ
0x1006c20c | 42 | ASCII | ?addref@Ref_Object@Utility@Outpop@@QAEXXZ
0x1006c238 | 43 | ASCII | ?release@Ref_Object@Utility@Outpop@@QAEXXZ
0x1006c266 | 96 | ASCII | ?clone_stream@Stream_Base@Utility@Outpop@@UAE?AV?$Smart_Ptr@VStream_Base@Utility@Outpop@@@23@XZ
0x1006c2c8 | 104 | ASCII | ?clone_shard_stream@Stream_Base@Utility@Outpop@@UAE?AV?$Smart_Ptr@VStream_Base@Utility@Outpop@@@23@HH@Z
0x1006c332 | 102 | ASCII | ?clone_shard_stream@Stream_Base@Utility@Outpop@@UAE?AV?$Smart_Ptr@VStream_Base@Utility@Outpop@@@23@XZ
0x1006c39a | 45 | ASCII | ?resize@Stream_Base@Utility@Outpop@@UAE_NH@Z
0x1006c3ca | 47 | ASCII | ??0Timer_Handler@Utility@Outpop@@QAE@ABV012@@Z
0x1006c3fc | 40 | ASCII | ??0Timer_Handler@Utility@Outpop@@QAE@XZ
0x1006c426 | 40 | ASCII | ??1Timer_Handler@Utility@Outpop@@UAE@XZ
0x1006c450 | 42 | ASCII | ??3Binary_Stream@Utility@Outpop@@SAXPAX@Z
0x1006c47c | 42 | ASCII | ??2Binary_Stream@Utility@Outpop@@SAPAXI@Z
0x1006c4a8 | 49 | ASCII | ?get_readable@Stream_Base@Utility@Outpop@@QAEHXZ
0x1006c4dc | 52 | ASCII | ?move_write_pos@Stream_Base@Utility@Outpop@@QAEXH@Z
0x1006c512 | 52 | ASCII | ?get_write_ptr@Stream_Base@Utility@Outpop@@QAEPADXZ
0x1006c548 | 51 | ASCII | ?move_read_pos@Stream_Base@Utility@Outpop@@QAEXH@Z
0x1006c57e | 49 | ASCII | ?head_size@Binary_Stream@Utility@Outpop@@QAEXH@Z
0x1006c5b2 | 48 | ASCII | ?head_size@Binary_Stream@Utility@Outpop@@QAEHXZ
0x1006c5e4 | 51 | ASCII | ?get_read_ptr@Stream_Base@Utility@Outpop@@QAEPADXZ
0x1006c61a | 53 | ASCII | ?set_key_flag@Binary_Stream@Utility@Outpop@@QAEX_N@Z
0x1006c652 | 63 | ASCII | ?priority@Binary_Stream@Utility@Outpop@@QAE?AW4EPriority@23@XZ
0x1006c694 | 67 | ASCII | ?sequence@Binary_Stream@Utility@Outpop@@QAE?AW4ESequenceType@23@XZ
0x1006c6da | 52 | ASCII | ?get_reliable@Binary_Stream@Utility@Outpop@@QAE_NXZ
0x1006c710 | 71 | ASCII | ?set_packet_type@Binary_Stream@Utility@Outpop@@QAEXW4EPacketType@23@@Z
0x1006c75a | 66 | ASCII | ?sequence@Binary_Stream@Utility@Outpop@@QAEXW4ESequenceType@23@@Z
0x1006c79e | 62 | ASCII | ?priority@Binary_Stream@Utility@Outpop@@QAEXW4EPriority@23@@Z
0x1006c7de | 53 | ASCII | ?set_reliable@Binary_Stream@Utility@Outpop@@QAEX_N@Z
0x1006c816 | 55 | ASCII | ?set_reliable_id@Binary_Stream@Utility@Outpop@@QAEXG@Z
0x1006c850 | 55 | ASCII | ?set_sequence_id@Binary_Stream@Utility@Outpop@@QAEXI@Z
0x1006c88a | 130 | ASCII | ??0StreamException@Utility@Outpop@@QAE@ABV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@HPAVoutpop_exception@12@@Z
0x1006c90e | 46 | ASCII | ?get_space@Stream_Base@Utility@Outpop@@QAEHXZ
0x1006c93e | 45 | ASCII | ?get_size@Stream_Base@Utility@Outpop@@QAEIXZ
