# Strings exported from IDA
# Format: address | length | type | string
#================================================================================

0x1002f3c0 | 9 | ASCII | IOThread
0x1002f3d4 | 12 | ASCII | BlockThread
0x1002f3e0 | 9 | ASCII | Acceptor
0x1002f3ec | 7 | ASCII | Stream
0x1002f3fc | 6 | ASCII | Dgram
0x1002f404 | 8 | ASCII | LocalID
0x1002f40c | 14 | ASCII | ListenAddress
0x1002f41c | 10 | ASCII | LocalType
0x1002f428 | 11 | ASCII | ListenPort
0x1002f434 | 15 | ASCII | MaxAllowAccept
0x1002f444 | 9 | ASCII | Security
0x1002f450 | 8 | ASCII | Backlog
0x1002f458 | 15 | ASCII | SendBufferSize
0x1002f468 | 15 | ASCII | RecvBufferSize
0x1002f478 | 10 | ASCII | KeepAlive
0x1002f484 | 17 | ASCII | AESAlgorithmType
0x1002f498 | 14 | ASCII | UDPResendTime
0x1002f4a8 | 12 | ASCII | UDPTimeTick
0x1002f4b4 | 20 | ASCII | UDPChannelKeepAlive
0x1002f4c8 | 15 | ASCII | UDPPostReadNum
0x1002f4d8 | 19 | ASCII | EnableFirewallFunc
0x1002f4ec | 21 | ASCII | TCPEnableRecvTimeOut
0x1002f504 | 20 | ASCII | TCPRecvTimeOutTimer
0x1002f518 | 31 | ASCII | FirewallMaxReciveSizePerSecond
0x1002f538 | 33 | ASCII | FirewallMaxRecivePacketNumSecond
0x1002f55c | 10 | ASCII | Connector
0x1002f568 | 14 | ASCII | RemoteAddress
0x1002f578 | 11 | ASCII | RemotePort
0x1002f584 | 9 | ASCII | RemoteID
0x1002f590 | 11 | ASCII | RemoteType
0x1002f59c | 14 | ASCII | AutoReConnect
0x1002f5ac | 18 | ASCII | AutoReConnectTime
0x1002f5c0 | 17 | ASCII | MessageRouteItem
0x1002f5d4 | 17 | ASCII | RequestAckOption
0x1002f5e8 | 14 | ASCII | EnableTimeOut
0x1002f5f8 | 12 | ASCII | DefaultTime
0x1002f604 | 28 | ASCII | AcceptorAddressFilterConfig
0x1002f620 | 7 | ASCII | Enable
0x1002f630 | 21 | ASCII | AcceptorAddressAllow
0x1002f648 | 8 | ASCII | Address
0x1002f650 | 17 | ASCII | list<T> too long
0x1002f688 | 19 | ASCII | vector<T> too long
0x1002fe00 | 15 | ASCII | bad allocation
0x10032b78 | 27 | ASCII | stream operator >> T faild
0x10032b94 | 37 | ASCII | stream operator << T space not enugh
0x10032bbc | 37 | ASCII | stream opera << const T write  faild
0x10032c48 | 51 | ASCII | D:\R3\OutpopGameProject\Release\MessageService.pdb
0x1003a4fe | 39 | ASCII | ??1Config_Paser@Utility@Outpop@@UAE@XZ
0x1003a528 | 37 | ASCII | ??_7Config_Paser@Utility@Outpop@@6B@
0x1003a550 | 37 | ASCII | ??1Ref_Object@Utility@Outpop@@UAE@XZ
0x1003a578 | 31 | ASCII | ??1Lock@Utility@Outpop@@QAE@XZ
0x1003a59a | 51 | ASCII | ?move_read_pos@Stream_Base@Utility@Outpop@@QAEXH@Z
0x1003a5d0 | 51 | ASCII | ?get_read_ptr@Stream_Base@Utility@Outpop@@QAEPADXZ
0x1003a606 | 55 | ASCII | ?malloc@Sect_Block_Allocator@Utility@Outpop@@QAEPAXI@Z
0x1003a640 | 59 | ASCII | ?instance@Sect_Block_Allocator@Utility@Outpop@@SAPAV123@XZ
0x1003a67e | 53 | ASCII | ?free@Sect_Block_Allocator@Utility@Outpop@@QAEXPAX@Z
0x1003a6b6 | 51 | ASCII | ??0Binary_Stream@Utility@Outpop@@QAE@AAV012@HH_N@Z
0x1003a6ec | 40 | ASCII | ??1Binary_Stream@Utility@Outpop@@UAE@XZ
0x1003a716 | 31 | ASCII | ??1Task@Utility@Outpop@@UAE@XZ
0x1003a738 | 35 | ASCII | ??_7Ref_Object@Utility@Outpop@@6B@
0x1003a75e | 42 | ASCII | ??0Dispatch_Thread@Utility@Outpop@@QAE@XZ
0x1003a78a | 42 | ASCII | ??1Dispatch_Thread@Utility@Outpop@@UAE@XZ
0x1003a7b6 | 45 | ASCII | ?instance@Logger@Utility@Outpop@@SAPAV123@XZ
0x1003a7e6 | 34 | ASCII | ?lock@Lock@Utility@Outpop@@QAEXXZ
0x1003a80a | 36 | ASCII | ?unlock@Lock@Utility@Outpop@@QAEXXZ
0x1003a830 | 49 | ASCII | ?get_log_buffer@Logger@Utility@Outpop@@QAEPA_WXZ
0x1003a864 | 42 | ASCII | ?make_tm@Logger@Utility@Outpop@@QAEPA_WXZ
0x1003a890 | 42 | ASCII | ?make_dt@Logger@Utility@Outpop@@QAEPA_WXZ
0x1003a8bc | 46 | ASCII | ?write_file@Logger@Utility@Outpop@@QAEXPA_W@Z
