# Skipped 365 functions
# Format: address | function_name | reason
#================================================================================

0x100091e0 | unknown_libname_1 | library function
0x10009d8f | __cfltcvt_init | library function
0x10009def | __fpmath | library function
0x10009e37 | unknown_libname_2 | library function
0x10009e52 | __purecall | library function
0x10009e81 | _V6_HeapAlloc | library function
0x10009ed0 | _malloc | library function
0x10009f93 | _free | library function
0x1000a021 | __fpclass | library function
0x1000a0b5 | ?_JumpToContinuation@@YGXPAXPAUEHRegistrationNode@@@Z | library function
0x1000a0e5 | sub_1000A0E5 | library function
0x1000a0ec | ?_UnwindNestedFrames@@YGXPAUEHRegistrationNode@@PAUEHExceptionRecord@@@Z | library function
0x1000a13e | ___CxxFrameHandler3 | library function
0x1000a174 | ?CatchGuardHandler@@YA?AW4_EXCEPTION_DISPOSITION@@PAUEHExceptionRecord@@PAUCatchGuardRN@@PAX2@Z | library function
0x1000a1a4 | ?_CallSETranslator@@YAHPAUEHExceptionRecord@@PAUEHRegistrationNode@@PAX2PBU_s_FuncInfo@@H1@Z | library function
0x1000a279 | ?TranslatorGuardHandler@@YA?AW4_EXCEPTION_DISPOSITION@@PAUEHExceptionRecord@@PAUTranslatorGuardRN@@PAX2@Z | library function
0x1000a316 | ?_GetRangeOfTrysToCheck@@YAPBU_s_TryBlockMapEntry@@PBU_s_FuncInfo@@HHPAI1@Z | library function
0x1000a389 | __CreateFrameInfo | library function
0x1000a3b1 | __IsExceptionObjectToBeDestroyed | library function
0x1000a3d2 | __FindAndUnlinkFrame | library function
0x1000a41e | ?_CallCatchBlock2@@YAPAXPAUEHRegistrationNode@@PBU_s_FuncInfo@@PAXHK@Z | library function
0x1000a47c | @__security_check_cookie@4 | library function
0x1000a490 | _memset | library function
0x1000a510 | _cos | library function
0x1000a550 | __CIcos | library function
0x1000a58b | __CIcos_default | library function
0x1000a5a8 | start | library function
0x1000a640 | _sin | library function
0x1000a680 | __CIsin | library function
0x1000a6bb | __CIsin_default | library function
0x1000a6d8 | start_0 | library function
0x1000a770 | __CIsqrt | library function
0x1000a784 | _sqrt | library function
0x1000a78d | start_1 | library function
0x1000a82a | _swprintf | library function
0x1000a846 | __wassert | library function
0x1000b08b | ?__ArrayUnwind@@YGXPAXIHP6EX0@Z@Z | library function
0x1000b0e9 | ??_M@YGXPAXIHP6EX0@Z@Z | library function
0x1000b14c | __get_printf_count_output | library function
0x1000b170 | __alloca_probe_16 | library function
0x1000b186 | __alloca_probe_8 | library function
0x1000b19c | ??0bad_alloc@std@@QAE@XZ | library function
0x1000b1fa | ??2@YAPAXI@Z | library function
0x1000b264 | __CRT_INIT@12 | library function
0x1000b43d | ___DllMainCRTStartup | library function
0x1000b533 | DllEntryPoint | library function
0x1000b554 | ??0_LocaleUpdate@@QAE@PAUlocaleinfo_struct@@@Z | library function
0x1000b5d6 | __forcdecpt_l | library function
0x1000b647 | __cropzeros_l | library function
0x1000b6c7 | __positive | library function
0x1000b6dd | __fassign_l | library function
0x1000b71d | __fassign | library function
0x1000b734 | __shift | library function
0x1000b751 | __forcdecpt | library function
0x1000b75f | __cropzeros | library function
0x1000b76d | __cftoe2_l | library function
0x1000b8da | __cftoe_l | library function
0x1000b9a8 | __cftoe | library function
0x1000b9c6 | __cftoa_l | library function
0x1000bd37 | __cftof2_l | library function
0x1000be2c | __cftof_l | library function
0x1000bee5 | __cftog_l | library function
0x1000bfdd | __cfltcvt_l | library function
0x1000c063 | __cfltcvt | library function
0x1000c084 | __initp_misc_cfltcvt_tab | library function
0x1000c0a3 | __setdefaultprecision | library function
0x1000c0cc | __ms_p5_test_fdiv | library function
0x1000c108 | __ms_p5_mp_test_fdiv | library function
0x1000c131 | ?_Type_info_dtor@type_info@@CAXPAV1@@Z | library function
0x1000c1b0 | _strcmp | library function
0x1000c238 | _abort | library function
0x1000c32b | __set_abort_behavior | library function
0x1000c349 | __NMSG_WRITE | library function
0x1000c4e9 | __FF_MSGBANNER | library function
0x1000c522 | __encode_pointer | library function
0x1000c585 | __encoded_null | library function
0x1000c58e | __decode_pointer | library function
0x1000c5f1 | ___crtTlsAlloc@4 | library function
0x1000c5fa | ___set_flsgetvalue | library function
0x1000c624 | __mtterm | library function
0x1000c661 | __initptd | library function
0x1000c715 | __getptd_noexit | library function
0x1000c798 | __getptd | library function
0x1000c7b0 | __freefls@4 | library function
0x1000c8d1 | __freeptd | library function
0x1000c93a | __mtinit | library function
0x1000cac8 | __mtinitlocks | library function
0x1000cb11 | __mtdeletelocks | library function
0x1000cb66 | __unlock | library function
0x1000cb7b | __mtinitlocknum | library function
0x1000cc3e | __lock | library function
0x1000cc6f | ___sbh_heap_init | library function
0x1000ccb7 | ___sbh_find_block | library function
0x1000cce2 | ___sbh_free_block | library function
0x1000cff6 | ___sbh_alloc_new_region | library function
0x1000d0a6 | ___sbh_alloc_new_group | library function
0x1000d1ac | ___sbh_resize_block | library function
0x1000d48b | ___sbh_alloc_block | library function
0x1000d770 | __SEH_prolog4 | library function
0x1000d7b5 | __SEH_epilog4 | library function
0x1000d7d0 | __except_handler4 | library function
0x1000d966 | ___heap_select | library function
0x1000d9c1 | __heap_init | library function
0x1000da1b | __heap_term | library function
0x1000da8f | __amsg_exit | library function
0x1000dab3 | ___crtCorExitProcess | library function
0x1000dad9 | ___crtExitProcess | library function
0x1000daee | __lockexit | library function
0x1000daf7 | __unlockexit | library function
0x1000db00 | __initterm | library function
0x1000db18 | __initterm_e | library function
0x1000dbab | __cinit | library function
0x1000dc3d | _doexit | library function
0x1000dd0b | __exit | library function
0x1000dd1c | __cexit | library function
0x1000dd2b | __init_pointers | library function
0x1000dd77 | __get_errno_from_oserr | library function
0x1000ddb2 | __errno | library function
0x1000ddc5 | ___doserrno | library function
0x1000ddd8 | __dosmaperr | library function
0x1000de00 | __callnewh | library function
0x1000de22 | __set_exp | library function
0x1000de4c | __sptype | library function
0x1000dea7 | __decomp | library function
0x1000df56 | __raise_exc_ex | library function
0x1000e230 | __raise_exc | library function
0x1000e251 | __handle_exc | library function
0x1000e432 | __set_errno | library function
0x1000e45a | __statfp | library function
0x1000e465 | __clrfp | library function
0x1000e471 | __ctrlfp | library function
0x1000e498 | __set_statfp | library function
0x1000e4ee | ___set_fpsr_sse2 | library function
0x1000e58d | ___TypeMatch | library function
0x1000e5e9 | ___FrameUnwindFilter | library function
0x1000e62d | ___FrameUnwindToState | library function
0x1000e70e | ?ExFilterRethrow@@YAHPAU_EXCEPTION_POINTERS@@@Z | library function
0x1000e753 | ___DestructExceptionObject | library function
0x1000e7a7 | ___AdjustPointer | library function
0x1000e7cc | ?IsInExceptionSpec@@YAEPAUEHExceptionRecord@@PBU_s_ESTypeList@@@Z | library function
0x1000e845 | ?CallUnexpected@@YAXPBU_s_ESTypeList@@@Z | library function
0x1000e88e | ?CallCatchBlock@@YAPAXPAUEHExceptionRecord@@PAUEHRegistrationNode@@PAU_CONTEXT@@PBU_s_FuncInfo@@PAXHK@Z | library function
0x1000ea2a | ___BuildCatchObjectHelper | library function
0x1000eba9 | ___BuildCatchObject | library function
0x1000ec3a | ?CatchIt@@YAXPAUEHExceptionRecord@@PAUEHRegistrationNode@@PAU_CONTEXT@@PAXPBU_s_FuncInfo@@PBU_s_HandlerType@@PBU_s_CatchableType@@PBU_s_TryBlockMapEntry@@H1E@Z | library function
0x1000eca6 | ?FindHandlerForForeignException@@YAXPAUEHExceptionRecord@@PAUEHRegistrationNode@@PAU_CONTEXT@@PAXPBU_s_FuncInfo@@HH1@Z | library function
0x1000ed98 | ?FindHandler@@YAXPAUEHExceptionRecord@@PAUEHRegistrationNode@@PAU_CONTEXT@@PAXPBU_s_FuncInfo@@EH1@Z | library function
0x1000f106 | ___InternalCxxFrameHandler | library function
0x1000f1ea | ?terminate@@YAXXZ | library function
0x1000f223 | ?unexpected@@YAXXZ | library function
0x1000f236 | ?_inconsistency@@YAXXZ | library function
0x1000f26d | __initp_eh_hooks | library function
0x1000f280 | __CallSettingFrame@12 | library function
0x1000f2cc | ___report_gsfailure | library function
0x1000f3d0 | _fastzero_I | library function
0x1000f427 | __VEC_memzero | library function
0x1000f4b6 | __sse2_mathfcns_init | library function
