# Strings exported from IDA
# Format: address | length | type | string
#================================================================================

0x10026360 | 15 | ASCII | bad allocation
0x10026668 | 14 | ASCII | 211.144.92.86
0x10026678 | 16 | ASCII | DetectedNetwork
0x10026690 | 14 | ASCII | ReportAddress
0x100266a0 | 21 | ASCII | ReqeustRemoteConnect
0x100266b8 | 6 | ASCII | Count
0x100266c0 | 13 | ASCII | SAPKeepAlive
0x100266d8 | 7 | ASCII | Enable
0x100266e0 | 8 | ASCII | FixPort
0x100266e8 | 9 | ASCII | ADServer
0x100266f4 | 8 | ASCII | Address
0x10026c00 | 14 | ASCII | Remote peer:\n
0x10026c10 | 22 | ASCII | %s	remote addr %s:%d\n
0x10026cd0 | 19 | ASCII | vector<T> too long
0x10026ce4 | 17 | ASCII | list<T> too long
0x10026cf8 | 45 | ASCII | stream operator << string<T> space not enugh
0x10026d28 | 46 | ASCII | stream operator >> std::basic_string<T> faild
0x10027438 | 37 | ASCII | stream operator << T space not enugh
0x10027460 | 37 | ASCII | stream opera << const T write  faild
0x10027488 | 27 | ASCII | stream operator >> T faild
0x100274e4 | 15 | ASCII | InteralNetwork
0x100274f4 | 15 | ASCII | ExteralNetwork
0x10027504 | 15 | ASCII | UnknownNetwork
0x10027514 | 10 | ASCII | UPNPError
0x10027520 | 14 | ASCII | DeviceFinding
0x10027530 | 15 | ASCII | AddressMapping
0x10027540 | 14 | ASCII | NotFindDevice
0x10027550 | 18 | ASCII | AddressMapSucceed
0x10027564 | 17 | ASCII | AddressMapFailed
0x10027578 | 12 | ASCII | UPNPUnknown
0x100279a4 | 14 | ASCII | HTTP/1.%*d %d
0x100279b4 | 16 | ASCII | CONTENT-LENGTH:
0x100279d0 | 31 | ASCII | GET /%s HTTP/1.1\r\nHOST: %s\r\n\r\n
0x100279f0 | 38 | ASCII | POST /%s HTTP/1.1\r\nHOST: %s\r\n%s%s\r\n%s
0x10027a18 | 9 | ASCII | %s: %s\r\n
0x10027a24 | 6 | ASCII | %s:%d
0x10027a2c | 18 | ASCII | WANIPConnection:1
0x10027a40 | 89 | ASCII | M-SEARCH * HTTP/1.1\r\nMX: 2\r\nHOST: 239.255.255.250:1900\r\nMAN: "ssdp:discover"\r\nST: %s\r\n\r\n
0x10027a9c | 16 | ASCII | 239.255.255.250
0x10027aac | 32 | ASCII | urn:schemas-upnp-org:service:%s
0x10027acc | 19 | ASCII | WANPPPConnection:1
0x10027ae0 | 7 | ASCII | 200 OK
0x10027aec | 10 | ASCII | LOCATION:
