# Strings exported from IDA
# Format: address | length | type | string
#================================================================================

0x1001d30c | 15 | ASCII | bad allocation
0x1001d5cc | 19 | ASCII | vector<T> too long
0x1001d5e0 | 17 | ASCII | list<T> too long
0x1001d904 | 26 | ASCII | CreateMutexA Mutex Falied
0x1001d920 | 26 | ASCII | CreateMutexW Mutex Falied
0x1001d9a0 | 28 | ASCII | taks open a activate failed
0x1001d9e8 | 81 | ASCII | buffer_  = (char*)Sect_Block_Allocator::instance()->malloc(buffer_size)  is NULL
0x1001da3c | 54 | ASCII | Stream_Base::Stream_Base(int size): size > 1024 * 100
0x1001da78 | 95 | ASCII |  Binary_Stream::write(const char *buffer, int size) error,!this->owner_ || size > get_space()!
0x1001dad8 | 79 | ASCII |  Binary_Stream::write(const char *buffer, int size) error,result return is -1!
0x1001db28 | 98 | ASCII |  Binary_Stream::clone_shard_stream(int  r_movepos,int w_movepos) error,wirtopos or ritepos error!
0x1001db8c | 41 | ASCII |   Stream_Base::resize  len > 1024 * 100 
0x1001dbb8 | 17 | ASCII | read 7bits error
0x1001dbcc | 37 | ASCII | stream operator << T space not enugh
0x1001dbf4 | 37 | ASCII | stream opera << const T write  faild
0x1001dc1c | 27 | ASCII | stream operator >> T faild
0x1001dd74 | 38 | ASCII | %s-%s-%d-%s%d-%s%d-%s%d-%s%d-%s%d.dmp
0x1001dda4 | 28 | ASCII | unknown structure exception
0x1001ddc0 | 23 | ASCII | array bounds exceeded.
0x1001ddd8 | 21 | ASCII | datatype misaligned.
0x1001ddf0 | 20 | ASCII | illegal instrument.
0x1001de04 | 18 | ASCII | access violation.
0x1001de18 | 28 | ASCII | exception can not continue.
0x1001de34 | 45 | ASCII | instrument has no privilege in current mode.
0x1001de64 | 16 | ASCII | stack overflow.
0x1001de74 | 12 | ASCII | page error.
0x1001de80 | 21 | ASCII | invalid disposition.
0x1001de98 | 22 | ASCII | float denormal error.
0x1001deb0 | 22 | ASCII | float divide by zero.
0x1001dec8 | 28 | ASCII | float inexact result error.
0x1001dee4 | 25 | ASCII | float invalid operation.
0x1001df00 | 16 | ASCII | float overflow.
0x1001df10 | 17 | ASCII | float underflow.
0x1001df24 | 19 | ASCII | float stack error.
0x1001df38 | 24 | ASCII | integer divide by zero.
0x1001df50 | 18 | ASCII | integer overflow.
0x1001df74 | 9 | ASCII | FileName
0x1001df80 | 12 | ASCII | log_default
0x1001df8c | 11 | ASCII | EnableTime
0x1001df98 | 11 | ASCII | LogDisplay
0x1001dfa4 | 8 | ASCII | LogFile
0x1001dfac | 9 | ASCII | LogError
0x1001dfb8 | 8 | ASCII | LogInfo
0x1001dfc0 | 9 | ASCII | LogDebug
0x1001dfcc | 11 | ASCII | LogWarring
0x1001dfd8 | 9 | ASCII | LogFatal
0x1001dfe4 | 25 | ASCII | %s_%d_%d_%d_%d_%d_%d.log
0x1001e148 | 10 | ASCII |  /service
0x1001e154 | 15 | ASCII | Outpop Service
0x1001e390 | 44 | ASCII | D:\R3\OutpopGameProject\release\Utility.pdb
0x10023f22 | 69 | ASCII | ?fgMemoryManager@XMLPlatformUtils@xercesc_2_5@@2PAVMemoryManager@2@A
0x10023f6a | 89 | ASCII | ?Initialize@XMLPlatformUtils@xercesc_2_5@@SAXQBD0QAVPanicHandler@2@QAVMemoryManager@2@@Z
0x10023fc6 | 50 | ASCII | ?fgXercescDefaultLocale@XMLUni@xercesc_2_5@@2QBDB
0x10023ffa | 96 | ASCII | ??0XercesDOMParser@xercesc_2_5@@QAE@QAVXMLValidator@1@QAVMemoryManager@1@QAVXMLGrammarPool@1@@Z
0x1002405c | 39 | ASCII | ??1XercesDOMParser@xercesc_2_5@@UAE@XZ
0x10024086 | 75 | ASCII | ?setValidationScheme@AbstractDOMParser@xercesc_2_5@@QAEXW4ValSchemes@12@@Z
0x100240d4 | 48 | ASCII | ?parse@AbstractDOMParser@xercesc_2_5@@QAEXQBD@Z
0x10024106 | 67 | ASCII | ?getDocument@AbstractDOMParser@xercesc_2_5@@QAEPAVDOMDocument@2@XZ
0x1002414c | 48 | ASCII | ?parse@AbstractDOMParser@xercesc_2_5@@QAEXQBG@Z
0x1002417c | 19 | ASCII | xerces-c_2_5_0.dll
0x10024192 | 24 | ASCII | FileTimeToLocalFileTime
0x100241ac | 21 | ASCII | FileTimeToSystemTime
0x100241c4 | 24 | ASCII | GetSystemTimeAsFileTime
0x100241de | 9 | ASCII | OpenFile
0x100241ea | 13 | ASCII | GetLastError
0x100241fa | 19 | ASCII | GetCurrentThreadId
0x10024210 | 20 | ASCII | GetCurrentProcessId
0x10024226 | 12 | ASCII | TlsGetValue
0x10024234 | 9 | ASCII | TlsAlloc
0x10024240 | 12 | ASCII | TlsSetValue
0x1002424e | 8 | ASCII | TlsFree
0x10024258 | 12 | ASCII | CloseHandle
0x10024266 | 22 | ASCII | DeleteCriticalSection
0x1002427e | 17 | ASCII | CreateSemaphoreA
0x10024292 | 26 | ASCII | InitializeCriticalSection
0x100242ae | 13 | ASCII | CreateEventA
0x100242be | 21 | ASCII | EnterCriticalSection
0x100242d6 | 21 | ASCII | LeaveCriticalSection
0x100242ee | 20 | ASCII | WaitForSingleObject
0x10024304 | 9 | ASCII | SetEvent
0x10024310 | 17 | ASCII | ReleaseSemaphore
0x10024324 | 13 | ASCII | CreateEventW
0x10024334 | 11 | ASCII | ResetEvent
0x10024342 | 11 | ASCII | OpenEventA
0x10024350 | 11 | ASCII | OpenEventW
0x1002435e | 21 | ASCII | InterlockedIncrement
0x10024376 | 21 | ASCII | InterlockedDecrement
0x1002438e | 13 | ASCII | CreateMutexA
0x1002439e | 13 | ASCII | CreateMutexW
0x100243ae | 11 | ASCII | OpenMutexA
0x100243bc | 11 | ASCII | OpenMutexW
0x100243ca | 16 | ASCII | TerminateThread
0x100243dc | 20 | ASCII | InterlockedExchange
0x100243f2 | 28 | ASCII | SetUnhandledExceptionFilter
0x10024410 | 12 | ASCII | CreateFileA
0x1002441e | 18 | ASCII | GetCurrentProcess
0x10024432 | 38 | ASCII | InitializeCriticalSectionAndSpinCount
0x1002445a | 10 | ASCII | WriteFile
0x10024466 | 15 | ASCII | SetFilePointer
